+=====+
| ILP |
+=====+
timing runs: 1000

Mean time per 262144 instructions (in ms):
+---------++-------+-------+-------+-------++-----+-----+-----+
| threads || ILP16 | ILP8  | ILP4  | ILP1  || r16 | r8  | r4  |
+---------++-------+-------+-------+-------++-----+-----+-----+
|      32 || 1.685 | 0.563 | 0.957 | 3.230 || 0.5 | 0.2 | 0.3 |
|      64 || 0.483 | 0.563 | 0.957 | 3.230 || 0.1 | 0.2 | 0.3 |
|      96 || 0.483 | 0.563 | 0.957 | 3.230 || 0.1 | 0.2 | 0.3 |
|     128 || 0.483 | 0.563 | 0.957 | 3.230 || 0.1 | 0.2 | 0.3 |
|     160 || 0.614 | 0.670 | 0.985 | 3.230 || 0.2 | 0.2 | 0.3 |
|     192 || 0.616 | 0.671 | 0.985 | 3.230 || 0.2 | 0.2 | 0.3 |
|     224 || 0.617 | 0.671 | 0.986 | 3.230 || 0.2 | 0.2 | 0.3 |
|     256 || 0.617 | 0.671 | 0.986 | 3.230 || 0.2 | 0.2 | 0.3 |
|     288 || 0.802 | 0.839 | 1.092 | 3.255 || 0.2 | 0.3 | 0.3 |
|     320 || 0.805 | 0.841 | 1.095 | 3.255 || 0.2 | 0.3 | 0.3 |
|     352 || 0.806 | 0.841 | 1.096 | 3.255 || 0.2 | 0.3 | 0.3 |
|     384 || 0.807 | 0.841 | 1.098 | 3.255 || 0.2 | 0.3 | 0.3 |
|     416 || 1.044 | 1.025 | 1.254 | 3.305 || 0.3 | 0.3 | 0.4 |
|     448 || 1.045 | 1.026 | 1.254 | 3.305 || 0.3 | 0.3 | 0.4 |
|     480 || 1.045 | 1.027 | 1.254 | 3.305 || 0.3 | 0.3 | 0.4 |
|     512 || 1.046 | 1.027 | 1.254 | 3.305 || 0.3 | 0.3 | 0.4 |
|     544 || 1.301 | 1.257 | 1.455 | 3.356 || 0.4 | 0.4 | 0.4 |
|     576 || 1.301 | 1.257 | 1.455 | 3.371 || 0.4 | 0.4 | 0.4 |
|     608 || 1.301 | 1.257 | 1.455 | 3.374 || 0.4 | 0.4 | 0.4 |
|     640 || 1.302 | 1.257 | 1.455 | 3.379 || 0.4 | 0.4 | 0.4 |
|     672 || 1.563 | 1.500 | 1.639 | 3.465 || 0.5 | 0.4 | 0.5 |
|     704 || 1.563 | 1.500 | 1.641 | 3.481 || 0.4 | 0.4 | 0.5 |
|     736 || 1.563 | 1.500 | 1.641 | 3.522 || 0.4 | 0.4 | 0.5 |
|     768 || 1.563 | 1.500 | 1.641 | 3.529 || 0.4 | 0.4 | 0.5 |
|     800 || 1.822 | 1.742 | 1.822 | 3.617 || 0.5 | 0.5 | 0.5 |
|     832 || 1.822 | 1.743 | 1.825 | 3.628 || 0.5 | 0.5 | 0.5 |
|     864 || 1.822 | 1.743 | 1.826 | 3.650 || 0.5 | 0.5 | 0.5 |
|     896 || 1.822 | 1.743 | 1.826 | 3.647 || 0.5 | 0.5 | 0.5 |
|     928 || 2.079 | 1.983 | 2.041 | 3.602 || 0.6 | 0.6 | 0.6 |
|     960 || 2.079 | 1.983 | 2.041 | 3.585 || 0.6 | 0.6 | 0.6 |
|     992 || 2.079 | 1.983 | 2.041 | 3.498 || 0.6 | 0.6 | 0.6 |
|    1024 || 2.080 | 1.984 | 2.042 | 3.408 || 0.6 | 0.6 | 0.6 |
+---------++-------+-------+-------+-------++-----+-----+-----+
